????;?????;???;???????;????
Les Corts UBAE;9;Paula Guix;Ala;3500
Les Corts UBAE;22;Bet;Pivot;3500
Les Corts UBAE;7;Martita;Pivot;3500
AD Ceuta FC;28;Ana Eliza;Portera;3000
AD Ceuta FC;1;Daniela;Portera;2000
AD Ceuta FC;2;Sara Soares;Portera;3000
AD Ceuta FC;8;C. Gadeia;Cierre;4000
AD Ceuta FC;27;Gisela;Cierre;3000
AD Ceuta FC;21;Maretti;Cierre;3000
AD Ceuta FC;3;Laura;Cierre;3000
AD Ceuta FC;7;M. Ravadelli;Cierre;3000
AD Ceuta FC;23;Ale Giménez;Ala;3000
AD Ceuta FC;16;Carla;Ala;3000
AD Ceuta FC;24;Claudia Navas;Ala;3500
AD Ceuta FC;6;Jhennif;Ala;4000
AD Ceuta FC;22;Szostak;Ala;3000
AD Ceuta FC;13;Mailén;Ala;4000
AD Ceuta FC;10;Mariam;Ala;3500
AD Ceuta FC;19;Nora;Ala;3000
AD Ceuta FC;11;Gi Costa;Pivot;3500
AD Ceuta FC;9;M. Scaletti;Pivot;3000
AD Ceuta FC;5;Nuria T.;Pivot;3000
Estrela Revoltosa Verín FSF;28;Bia;Portera;3500
Estrela Revoltosa Verín FSF;2;Lucía Paz;Portera;3000
Estrela Revoltosa Verín FSF;99;Anita Ontiveros;Cierre;4000
Estrela Revoltosa Verín FSF;7;Jeni;Cierre;4000
Estrela Revoltosa Verín FSF;19;Rafinha;Cierre;3500
Estrela Revoltosa Verín FSF;5;Adriana;Ala;3000
Estrela Revoltosa Verín FSF;13;Malak;Ala;2500
Estrela Revoltosa Verín FSF;6;María;Ala;3000
Estrela Revoltosa Verín FSF;9;Pau;Ala;3500
Estrela Revoltosa Verín FSF;22;Candela;Pivot;3000
Estrela Revoltosa Verín FSF;8;Delise;Pivot;3000
Estrela Revoltosa Verín FSF;66;M. León;Pivot;3500
Estrela Revoltosa Verín FSF;18;Nora;Pivot;3000
Estrela Revoltosa Verín FSF;29;Rafa Pato;Pivot;4000
Estrela Revoltosa Verín FSF;10;Sara Santos;Pivot;3500
Cajasol Guadalcacin FS;13;Serpa Da Silva, Gleice;Pivot;3500
Cajasol Guadalcacin FS;1;Celia Nuin;Portera;2500
Cajasol Guadalcacin FS;19;Elisa;Portera;2500
Cajasol Guadalcacin FS;17;Sandra Buzón;Portera;3000
Cajasol Guadalcacin FS;3;Guti;Cierre;4000
Cajasol Guadalcacin FS;10;Elena Aragón;Cierre;3500
Cajasol Guadalcacin FS;14;Jussara;Cierre;3000
Cajasol Guadalcacin FS;9;Ame Romero;Ala;5000
Cajasol Guadalcacin FS;23;Carla;Ala;3000
Cajasol Guadalcacin FS;6;Miriam;Ala;3500
Cajasol Guadalcacin FS;22;Naomi;Ala;3000
Cajasol Guadalcacin FS;7;Pellegry;Pivot;3000
Cajasol Guadalcacin FS;8;Lara Díaz;Pivot;3000
Wanapix Aldelis;1;Izarbe;Portera;2000
Wanapix Aldelis;7;María;Portera;2000
Wanapix Aldelis;13;Ale;Portera;2000
Wanapix Aldelis;4;Cardona;Cierre;3000
Wanapix Aldelis;6;Irene;Cierre;3000
Wanapix Aldelis;7;Ibáñez;Cierre;3000
Wanapix Aldelis;21;Ana Mazas;Ala;3000
Wanapix Aldelis;14;Clau;Ala;3000
Wanapix Aldelis;11;Titi;Ala;3000
Wanapix Aldelis;22;Marina;Ala;3000
Wanapix Aldelis;10;Marta;Ala;3000
Wanapix Aldelis;99;Noa;Ala;3000
Wanapix Aldelis;15;Patri;Ala;3000
Wanapix Aldelis;9;Yaiza;Ala;3000
Wanapix Aldelis;29;Belén;Pivot;3000
Wanapix Aldelis;8;Eider;Pivot;3000
Wanapix Aldelis;17;Juls;Pivot;3000
Ourense Ontime;12;Ana Romero;Portera;3500
Ourense Ontime;31;Uxía Rodríguez;Portera;3000
Ourense Ontime;4;Anita;Cierre;2500
Ourense Ontime;3;Chiky;Cierre;3500
Ourense Ontime;7;Alice;Ala;3000
Ourense Ontime;2;Ana Rivera;Ala;3000
Ourense Ontime;20;Catarina;Ala;3000
Ourense Ontime;11;Judith;Ala;3500
Ourense Ontime;19;Melli;Ala;3000
Ourense Ontime;10;Marta;Ala;3000
Ourense Ontime;8;Raquelilla;Ala;3000
Ourense Ontime;17;Carla Ayensa;Pivot;3000
LBTL Futsal Alcantarilla;99;Marina;Portera;3000
LBTL Futsal Alcantarilla;12;Teresa Julve;Portera;2000
LBTL Futsal Alcantarilla;13;Yolanda;Portera;2000
LBTL Futsal Alcantarilla;21;Toñi;Cierre;3000
LBTL Futsal Alcantarilla;4;Bet;Cierre;3000
LBTL Futsal Alcantarilla;20;Rocío Molina;Cierre;3000
LBTL Futsal Alcantarilla;18;Ana;Ala;3500
LBTL Futsal Alcantarilla;2;Ana Belén;Ala;3500
LBTL Futsal Alcantarilla;3;Blanca;Ala;3500
LBTL Futsal Alcantarilla;9;Clara;Ala;3000
LBTL Futsal Alcantarilla;11;Cristi;Ala;3000
LBTL Futsal Alcantarilla;6;Iraia;Ala;3000
LBTL Futsal Alcantarilla;17;Lola;Ala;3000
LBTL Futsal Alcantarilla;10;Esther;Pivot;3000
LBTL Futsal Alcantarilla;19;Lydia G.;Pivot;3000
LBTL Futsal Alcantarilla;16;Mariángeles V.;Pivot;3000
LBTL Futsal Alcantarilla;14;Paola;Pivot;300
Arriva AD Alcorcón;23;Ari;Portera;4000
Arriva AD Alcorcón;13;Valeria;Portera;2000
Arriva AD Alcorcón;16;N. Montoro;Cierre;4000
Arriva AD Alcorcón;44;Thais;Cierre;4000
Arriva AD Alcorcón;7;Clau López;Ala;5000
Arriva AD Alcorcón;8;Lora;Ala;5000
Arriva AD Alcorcón;14;Lucy;Ala;4000
Arriva AD Alcorcón;21;María B.;Ala;4000
Arriva AD Alcorcón;21;Patri Blázquez;Ala;5000
Arriva AD Alcorcón;5;Sarita;Ala;3000
Arriva AD Alcorcón;10;Tania Benito;Ala;4000
Arriva AD Alcorcón;12;L. Ajenjo;Pivot;3000
Arriva AD Alcorcón;19;Vane Sotelo;Pivot;6000
Poio Pescamar;1;Elena;Portera;4000
Poio Pescamar;15;Estela;Portera;3000
Poio Pescamar;28;Yanira;Portera;2000
Poio Pescamar;25;Bravo;Cierre;3000
Poio Pescamar;8;Martita;Cierre;4000
Poio Pescamar;11;Alba García;Ala;3000
Poio Pescamar;7;Ale De Paz;Ala;6000
Poio Pescamar;13;Carolina Pedreira;Ala;5000
Poio Pescamar;6;Débora;Ala;4000
Poio Pescamar;3;Èlia;Ala;4000
Poio Pescamar;16;Laura Sánchez;Ala;5000
Poio Pescamar;19;Luci;Ala;5000
Poio Pescamar;10;Miri;Ala;3500
Poio Pescamar;14;Chuli;Pivot;3500
Poio Pescamar;21;Laura Uña;Pivot;4000
Poio Pescamar;18;Sofía Rozas;Pivot;3500
FSF Castro Bloques Cando;21;Caridad;Portera;3000
FSF Castro Bloques Cando;22;Falconi;Portera;2500
FSF Castro Bloques Cando;17;Cris Loures;Cierre;3000
FSF Castro Bloques Cando;10;Antía Pérez;Ala;5000
FSF Castro Bloques Cando;3;Jenny;Ala;4000
FSF Castro Bloques Cando;97;Juliana;Ala;4000
FSF Castro Bloques Cando;27;Luana Moura;Ala;4000
FSF Castro Bloques Cando;12;Luisa Mayara;Ala;5000
FSF Castro Bloques Cando;16;Clara;Ala;2000
FSF Castro Bloques Cando;13;Dani Sousa;Pivot;4000
FSF Castro Bloques Cando;11;Natalinha;Pivot;5000
FSF Castro Bloques Cando;20;Patricia;Pivot;4000
Nueces de Ronda Atlético Torcal;2;Andrea;Portera;3000
Nueces de Ronda Atlético Torcal;1;Valeria;Portera;3500
Nueces de Ronda Atlético Torcal;14;Cris Blanco;Cierre;3000
Nueces de Ronda Atlético Torcal;4;Collado;Cierre;3000
Nueces de Ronda Atlético Torcal;12;Susana;Cierre;3500
Nueces de Ronda Atlético Torcal;17;Catarina Barra;Ala;3000
Nueces de Ronda Atlético Torcal;20;Guida;Ala;3000
Nueces de Ronda Atlético Torcal;22;Unami;Ala;3000
Nueces de Ronda Atlético Torcal;24;Rebecka;Ala;3000
Nueces de Ronda Atlético Torcal;19;Sandra;Ala;3000
Nueces de Ronda Atlético Torcal;8;África;Pivot;4000
Nueces de Ronda Atlético Torcal;10;Alejandra;Pivot;3500
